task_id,total_disc_reward,cumulative_reward,moving_avg_reward,overall_est_accur,warnings_received,cumulative_warnings,moving_avg_warnings,robot_model_ID
267,5.88,1001.0503102000008,3.749252098127344,100.0,0,60.0,0.2247191011235955,6
268,5.88,1006.9303102000008,3.757202650000003,100.0,0,60.0,0.22388059701492538,6
269,2.44165,1009.3719602000008,3.752312119702605,44.44444444444444,1,61.0,0.22676579925650558,6
270,2.44165,1011.8136102000008,3.7474578155555585,44.44444444444444,1,62.0,0.22962962962962963,6
271,5.88,1017.6936102000008,3.755326974907752,100.0,0,62.0,0.22878228782287824,6
272,5.64715,1023.3407602000008,3.76228220661765,80.0,0,62.0,0.22794117647058823,6
273,5.88,1029.2207602000008,3.7700394146520173,100.0,0,62.0,0.2271062271062271,6
274,5.88,1035.1007602000009,3.77774000072993,100.0,0,62.0,0.22627737226277372,6
275,5.88,1040.980760200001,3.785384582545458,100.0,0,62.0,0.22545454545454546,6
276,5.88,1046.860760200001,3.7929737688405836,100.0,0,62.0,0.2246376811594203,6
277,5.7624,1052.6231602000012,3.8000836108303293,100.0,0,62.0,0.22382671480144403,6
278,4.50116,1057.1243202000012,3.802605468345328,83.33333333333334,0,62.0,0.22302158273381295,6
279,-1.82853,1055.2957902000012,3.7824221870967785,33.33333333333333,0,62.0,0.2222222222222222,6
280,5.7624,1061.0581902000013,3.789493536428576,100.0,0,62.0,0.22142857142857142,6
281,4.37386,1065.4320502000012,3.791573132384346,50.0,0,62.0,0.2206405693950178,6
282,4.59302,1070.0250702000012,3.794415142553196,50.0,0,62.0,0.2198581560283688,6
283,4.37386,1074.3989302000011,3.796462650883396,42.857142857142854,0,62.0,0.21908127208480566,6
284,4.41113,1078.810060200001,3.798626972535215,50.0,0,62.0,0.21830985915492956,6
285,5.7624,1084.5724602000012,3.8055174042105304,100.0,0,62.0,0.21754385964912282,6
286,5.7624,1090.3348602000012,3.8123596510489555,100.0,0,62.0,0.21678321678321677,6
287,4.59302,1094.9278802000013,3.815079721951224,66.66666666666666,0,62.0,0.21602787456445993,6
288,5.88,1100.8078802000014,3.8222495840277824,66.66666666666666,0,62.0,0.2152777777777778,6
289,-1.71959,1099.0882902000014,3.803073668512116,20.0,0,62.0,0.21453287197231835,6
290,4.26756,1103.3558502000014,3.8046753455172464,37.5,0,62.0,0.21379310344827587,6
291,5.88,1109.2358502000016,3.81180704536083,100.0,0,62.0,0.21305841924398625,6
292,-0.885842,1108.3500082000016,3.795719206164389,37.5,0,62.0,0.21232876712328766,6
293,4.46312,1112.8131282000015,3.797997024573384,57.14285714285714,0,62.0,0.21160409556313994,6
294,5.88,1118.6931282000016,3.8050786673469443,100.0,0,62.0,0.2108843537414966,6
295,5.88,1124.5731282000017,3.812112298983057,100.0,0,62.0,0.21016949152542372,6
296,-1.71959,1122.8535382000018,3.793424115540547,36.36363636363637,0,62.0,0.20945945945945946,6
297,4.41113,1127.2646682000018,3.795503933333339,62.5,0,62.0,0.20875420875420875,6
298,5.64715,1132.9118182000018,3.801717510738261,60.0,0,62.0,0.2080536912751678,6
299,4.57381,1137.4856282000019,3.804299759866227,66.66666666666666,0,62.0,0.20735785953177258,6
300,5.88,1143.365628200002,3.8112187606666734,100.0,0,62.0,0.20666666666666667,6
301,-0.885842,1142.479786200002,3.795613907641203,71.42857142857143,0,62.0,0.2059800664451827,6
302,5.20875,1147.688536200002,3.8002931662251727,11.11111111111111,0,62.0,0.2052980132450331,6
