task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,moving_avg_time,task_status,moving_avg_status,who_succeeded
360,1538349774,589856173,1538349786,78384638,12.193990230560303,27.929747747050392,1,0.8833333333333333,"""human"""
361,1538349802,716194471,1538349815,78315768,13.066963195800781,27.88857659870898,1,0.8836565096952909,"""human"""
362,1538349831,264383252,1538349838,78262052,7.518237113952637,27.83230494267374,1,0.8839779005524862,"""human"""
363,1538349854,146194890,1538349874,78240222,20.636207342147827,27.812480982341715,1,0.8842975206611571,"""human"""
364,1538349890,732635300,1538349898,78279706,8.050161838531494,27.758188896781796,1,0.8846153846153846,"""human"""
365,1538349914,217116271,1538349935,77932613,21.562209844589233,27.741213611707295,1,0.8849315068493151,"""robot"""
366,1538349946,451592348,1538349953,78349362,7.3319010734558105,27.68545046269568,1,0.8852459016393442,"""human"""
367,1538349969,557317481,1538349982,78445424,13.227136850357056,27.646054512798298,1,0.885558583106267,"""human"""
368,1538349998,373857927,1538350040,78108740,42.40722942352295,27.68616640114266,1,0.8858695652173914,"""robot"""
369,1538350051,820290746,1538350059,78346949,7.963178634643555,27.632716569797132,1,0.8861788617886179,"""human"""
370,1538350075,289110977,1538350087,78330925,12.494198322296143,27.5918016556147,1,0.8864864864864865,"""human"""
371,1538350102,442203718,1538350109,78347444,7.341270685195923,27.537218014184997,1,0.8867924528301887,"""human"""
372,1538350125,876929725,1538350138,78346878,12.906538963317871,27.497888231790196,1,0.8870967741935484,"""human"""
373,1538350154,1516127,1538350161,78296162,7.6313488483428955,27.444626732102666,1,0.8873994638069705,"""human"""
374,1538350177,28384814,1538350193,78217045,16.49832248687744,27.415358538933617,1,0.8877005347593583,"""human"""
375,1538350210,292203977,1538350242,78342161,32.491217613220215,27.428894163131712,1,0.888,"""human"""
376,1538350258,129361032,1538350271,78257946,13.653218507766724,27.392256727878085,1,0.8882978723404256,"""human"""
377,1538350287,375217555,1538350300,78225519,13.407037734985352,27.355160656278898,1,0.8885941644562334,"""human"""
378,1538350316,741905521,1538350324,78280644,8.040900945663452,27.30406473111854,1,0.8888888888888888,"""human"""
379,1538350340,213786469,1538350352,78261979,12.568833351135254,27.26518549264893,1,0.8891820580474934,"""human"""
380,1538350367,596728741,1538350375,78303203,8.18630313873291,27.214977907507045,1,0.8894736842105263,"""human"""
381,1538350390,774985799,1538350398,78299157,8.008005857467651,27.164565907375707,1,0.889763779527559,"""human"""
382,1538350413,553838218,1538350421,78286380,8.229025602340698,27.114996430137396,1,0.8900523560209425,"""human"""
383,1538350437,403454347,1538350449,78282158,12.379367351531982,27.07652220277811,1,0.8903394255874674,"""human"""
384,1538350465,394856883,1538350477,78549412,12.390637159347534,27.038277710477512,1,0.890625,"""human"""
385,1538350493,754077641,1538350501,78315237,8.029074668884277,26.988903157122724,1,0.8909090909090909,"""human"""
386,1538350522,120461973,1538350529,78214592,7.661684036254883,26.938832641265552,1,0.8911917098445595,"""human"""
387,1538350545,244610239,1538350552,78373688,7.539126634597778,26.888704201971837,1,0.8914728682170543,"""human"""
388,1538350568,470810098,1538350620,845236665,52.37442660331726,26.954389053521698,1,0.8917525773195877,"""robot"""
389,1538350637,490504907,1538350644,78252706,7.292021989822388,26.903843122766688,1,0.8920308483290489,"""human"""
390,1538350661,605775885,1538350669,78254409,8.17676830291748,26.85582498220297,1,0.8923076923076924,"""human"""
391,1538350688,773263560,1538350696,78360009,8.010336637496948,26.807626802293235,1,0.8925831202046036,"""human"""
392,1538350711,931803144,1538350727,78338597,15.851582765579224,26.779677710362844,1,0.8928571428571429,"""human"""
393,1538350742,908657722,1538350764,78229813,21.873640298843384,26.76719415460834,1,0.8931297709923665,"""human"""
394,1538350780,531446108,1538350797,78219672,17.25075054168701,26.74304074442326,1,0.8934010152284264,"""human"""
395,1538350813,886910462,1538350821,78316174,7.896251201629639,26.69532735317568,1,0.8936708860759494,"""human"""
396,1538350837,446866508,1538350844,78289815,7.336031675338745,26.646440242878114,1,0.8939393939393939,"""human"""
397,1538350861,340004196,1538350877,78201360,16.442009449005127,26.62073638697415,1,0.8942065491183879,"""human"""
398,1538350893,684510322,1538350904,78199093,11.097480773925781,26.581733232167498,1,0.8944723618090452,"""human"""
399,1538350920,615717720,1538350933,78342653,13.16770887374878,26.548114123499783,1,0.8947368421052632,"""human"""
400,1538350949,889431077,1538350957,78292875,7.893497705459595,26.501477582454683,1,0.895,"""human"""
401,1538350973,110223238,1538351000,78234909,27.672125816345215,26.50439690473371,1,0.8952618453865336,"""human"""
402,1538351015,944037114,1538351058,78061187,42.83657455444336,26.54502421232005,1,0.8955223880597015,"""robot"""
403,1538351080,15903734,1538351087,78433933,7.625302076339722,26.498077010990077,1,0.8957816377171216,"""human"""
404,1538351103,547018568,1538351145,78082864,42.23381018638611,26.53702684558264,1,0.8960396039603961,"""robot"""
405,1538351167,888113194,1538351175,78209507,7.893981695175171,26.490994635334722,1,0.8962962962962963,"""human"""
406,1538351191,558024039,1538351232,84842118,41.29039716720581,26.527446365708787,1,0.896551724137931,"""robot"""
407,1538351255,190965809,1538351307,977052612,52.78608679771423,26.59196390976777,1,0.8968058968058968,"""robot"""
408,1538351320,729061345,1538351373,493830400,52.764769077301025,26.656112942041137,0,0.8946078431372549,''
409,1538351386,775329166,1538351439,177114289,52.401785135269165,26.719060795814308,1,0.8948655256723717,"""robot"""
410,1538351455,899482978,1538351508,578785485,52.67930245399475,26.782378458395236,1,0.8951219512195122,"""robot"""
411,1538351525,804867584,1538351562,78252952,36.977662086486816,26.80718450128597,1,0.8953771289537713,"""human"""
412,1538351579,430817236,1538351657,78273495,78.35191774368286,26.93229307711703,1,0.8956310679611651,"""human"""
413,1538351672,601074445,1538351692,78320887,20.18213438987732,26.915948867220568,1,0.8958837772397095,"""human"""
414,1538351708,692872026,1538351736,78418209,28.091310024261475,26.918787903831777,1,0.8961352657004831,"""human"""
415,1538351752,369692163,1538351805,643802239,53.274110078811646,26.982294704253416,0,0.8939759036144578,''
416,1538351818,97330892,1538351851,78012754,32.80681872367859,26.996295963915493,1,0.8942307692307693,"""robot"""
417,1538351864,609309312,1538351886,77991063,22.17060136795044,26.98472355481246,1,0.894484412470024,"""robot"""
418,1538351900,71560593,1538351953,111662519,52.39605665206909,27.045516217724558,0,0.8923444976076556,''
419,1538351968,653439542,1538352000,78318977,32.12975025177002,27.057650427829678,1,0.8926014319809069,"""human"""
420,1538352016,728260192,1538352033,78310429,17.05484390258789,27.033834221817198,1,0.8928571428571429,"""human"""
421,1538352050,61570513,1538352080,77922232,30.163517236709595,27.041268148218368,1,0.8931116389548693,"""robot"""
422,1538352102,339721788,1538352109,78384311,7.444121360778809,26.99482941175524,1,0.8933649289099526,"""human"""
423,1538352125,372538255,1538352153,78337794,28.410839557647705,26.998176953471297,1,0.8936170212765957,"""human"""
424,1538352169,610794306,1538352222,228240490,52.617446184158325,27.058599758260655,1,0.8938679245283019,"""robot"""
425,1538352240,654448047,1538352248,78305294,8.128604888916016,27.014058593862195,1,0.8941176470588236,"""human"""
426,1538352263,880299944,1538352316,811973487,52.931673526763916,27.074898065535674,0,0.892018779342723,''
427,1538352339,534163618,1538352355,78429795,16.250134229660034,27.049547330557044,1,0.892271662763466,"""human"""
428,1538352370,947548842,1538352423,545264537,52.597715616226196,27.109239312532907,0,0.8901869158878505,''
429,1538352440,828938011,1538352472,78324505,31.954307079315186,27.12053317679114,1,0.8904428904428905,"""human"""
430,1538352489,455545197,1538352542,443654227,52.98810911178589,27.180690330128336,0,0.8883720930232558,''
431,1538352554,626854528,1538352607,710965582,53.08411121368408,27.240791074637748,0,0.8863109048723898,''
432,1538352624,693435297,1538352677,677152924,52.98371767997742,27.30038118252048,0,0.8842592592592593,''
433,1538352690,326317457,1538352734,77973995,44.45342230796814,27.339995596205114,1,0.8845265588914549,"""robot"""
434,1538352755,552692880,1538352763,78586834,8.23317551612854,27.29597066514503,1,0.8847926267281107,"""human"""
435,1538352778,760369405,1538352831,110409513,52.35004019737244,27.35356622728808,1,0.8850574712643678,"""robot"""
436,1538352844,46026469,1538352896,960463971,52.50019931793213,27.411241991257448,0,0.8830275229357798,''
437,1538352909,708409430,1538352931,78144408,22.073034524917603,27.39902641353127,1,0.8832951945080092,"""robot"""
438,1538352948,309009066,1538352982,78031182,34.47130274772644,27.41517316315272,1,0.8835616438356164,"""robot"""
