task_id,task_init_secs,task_init_nsecs,acted_secs,acted_nsecs,taken_action,belief_state,real_state,robot_model,immediate_reward,total_disc_reward
3,1564320605,792440299,1564320676,787092316,"""grasp""","""NeedsHelp""","""NeedsHelp""","""proactive_average_takeOneReasses_loyal.pomdpx""",6,28.515526586453078
3,1564320605,792440299,1564320676,787092316,"""grasp""","""NeedsHelp""","""NeedsHelp""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,28.515526586453078
3,1564320605,792440299,1564320691,766894827,"""planning for grasping""","""HumanDoingOk""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,28.515526586453078
3,1564320605,792440299,1564320694,780069727,"""idle""","""MayBeTired""","""MayBeTired""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,28.515526586453078
3,1564320605,792440299,1564320698,348731180,"""idle""","""HumanDoingOk""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,28.515526586453078
3,1564320605,792440299,1564320698,348731180,"""idle""","""HumanDoingOk""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,28.515526586453078
3,1564320605,792440299,1564320709,629099513,"""idle""","""HumanDoingOk""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",6,32.2856102793658
3,1564320605,792440299,1564320710,991443729,"""idle""","""HumanDoingOk""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320712,747400054,"""idle""","""HumanDoingOk""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320715,774535038,"""idle""","""HumanDoingOk""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320717,264815624,"""planning for grasping""","""HumanDoingOk""","""HumanDoingOk""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320718,732604971,"""idle""","""MayBeTired""","""MayBeTired""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320721,796513705,"""idle""","""MayBeTired""","""MayBeTired""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320724,825451213,"""planning for grasping""","""MayBeTired""","""MayBeTired""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320727,785002107,"""idle""","""MayBeTired""","""MayBeTired""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320730,905120939,"""idle""","""NeedsHelp""","""NeedsHelp""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320733,845887962,"""planning for grasping""","""NeedsHelp""","""NeedsHelp""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320736,865963034,"""planning for grasping""","""NeedsHelp""","""NeedsHelp""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
3,1564320605,792440299,1564320739,877111953,"""planning for grasping""","""NeedsHelp""","""NeedsHelp""","""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,32.2856102793658
