rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53615695214527E+018,7,1,"""ROBOT""",,1536156952,144215797,'',,1536156952,123381095,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[8.1489334086192e-18, 5.394877124949675e-19, 7.365731172553957e-34, 7.365731172553957e-34, 2.8741646339942024e-27, 1.0633478970919217e-22, 3.670560631598163e-16, 7.542370112299564e-25, 1.1088002516146389e-08, 1.0]"
1.53615695877879E+018,7,2,"""ROBOT""",,1536156958,777680001,'',,1536156958,540409443,"""planning for grasping""","""NoFocus""","""MayBeTired""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[8.1489334086192e-18, 5.394877124949675e-19, 7.365731172553957e-34, 7.365731172553957e-34, 2.8741646339942024e-27, 1.0633478970919217e-22, 3.670560631598163e-16, 7.542370112299564e-25, 1.1088002516146389e-08, 1.0]"
1.53615696640936E+018,7,3,"""ROBOT""",,1536156966,408241987,'',,1536156962,94250142,"""point to remind""","""NeedsToBeReminded""","""MayBeTired""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[8.1489334086192e-18, 5.394877124949675e-19, 7.365731172553957e-34, 7.365731172553957e-34, 2.8741646339942024e-27, 1.0633478970919217e-22, 3.670560631598163e-16, 7.542370112299564e-25, 1.1088002516146389e-08, 1.0]"
1.53615697419567E+018,7,4,"""ROBOT""",,1536156974,194411820,'',,1536156969,899281428,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[8.1489334086192e-18, 5.394877124949675e-19, 7.365731172553957e-34, 7.365731172553957e-34, 2.8741646339942024e-27, 1.0633478970919217e-22, 3.670560631598163e-16, 7.542370112299564e-25, 1.1088002516146389e-08, 1.0]"
1.5361569781236E+018,7,5,"""ROBOT""",,1536156978,122424153,'',,1536156977,926378492,"""planning for grasping""","""MayBeTired""","""MayBeTired""",True,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[8.1489334086192e-18, 5.394877124949675e-19, 7.365731172553957e-34, 7.365731172553957e-34, 2.8741646339942024e-27, 1.0633478970919217e-22, 3.670560631598163e-16, 7.542370112299564e-25, 1.1088002516146389e-08, 1.0]"
1.53615698176894E+018,7,6,"""ROBOT""",,1536156981,767751886,'',,1536156981,578628774,"""planning for grasping""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[8.1489334086192e-18, 5.394877124949675e-19, 7.365731172553957e-34, 7.365731172553957e-34, 2.8741646339942024e-27, 1.0633478970919217e-22, 3.670560631598163e-16, 7.542370112299564e-25, 1.1088002516146389e-08, 1.0]"
1.53615698524898E+018,7,7,"""ROBOT""",,1536156985,247861501,'',,1536156985,115320783,"""grasp""","""NeedsHelp""","""GlobalSuccess""",False,0,'','',[],'','',"""policy3.pomdpx""","""6""","""5.31505""","[8.1489334086192e-18, 5.394877124949675e-19, 7.365731172553957e-34, 7.365731172553957e-34, 2.8741646339942024e-27, 1.0633478970919217e-22, 3.670560631598163e-16, 7.542370112299564e-25, 1.1088002516146389e-08, 1.0]"
1.53615699563624E+018,8,0,"""ROBOT""",,1536156995,633987646,'',,1536156995,630894940,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy3.pomdpx""","""6""","""5.31505""","[2.0663740087512733e-13, 2.130661751769387e-30, 1.154632411193891e-35, 2.802596928649634e-45, 3.649475651387758e-24, 4.199604178526321e-34, 3.39606402895154e-12, 3.1264024462154343e-25, 0.00015091875684447587, 0.9998490810394287]"
1.53615699565514E+018,8,1,"""ROBOT""",,1536156995,654015947,'',,1536156995,630894940,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[2.0663740087512733e-13, 2.130661751769387e-30, 1.154632411193891e-35, 2.802596928649634e-45, 3.649475651387758e-24, 4.199604178526321e-34, 3.39606402895154e-12, 3.1264024462154343e-25, 0.00015091875684447587, 0.9998490810394287]"
1.53615700205663E+018,8,2,"""ROBOT""",,1536157002,55436973,'',,1536157001,863768140,"""planning for grasping""","""NoFocus""","""NoNeedHelp""",False,0,'','',[],'','',"""policy3.pomdpx""","""0""","""0""","[2.0663740087512733e-13, 2.130661751769387e-30, 1.154632411193891e-35, 2.802596928649634e-45, 3.649475651387758e-24, 4.199604178526321e-34, 3.39606402895154e-12, 3.1264024462154343e-25, 0.00015091875684447587, 0.9998490810394287]"
