rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward
1.53582298908768E+018,5,4,"""OBSERVATION""",,1535822989,86144470,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582299060371E+018,5,4,"""HUMAN""",,1535822990,601199753,"""distracted_collaborative.POMDPx""",,1535822986,891394238,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582299061339E+018,5,5,"""ROBOT""",,1535822990,612338650,'',,1535822990,382709351,"""planning for grasping""","""MayBeTired""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582299352128E+018,5,5,"""OBSERVATION""",,1535822993,519903527,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.5358229951639E+018,5,5,"""HUMAN""",,1535822995,161820952,"""distracted_collaborative.POMDPx""",,1535822991,663843655,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582299517463E+018,5,6,"""ROBOT""",,1535822995,173510143,'',,1535822994,808027602,"""grasp""","""NeedsHelp""","""NeedsToBeReminded""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582299760421E+018,5,6,"""SENSORS""",,1535822997,603788318,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','',''
1.5358229985039E+018,5,6,"""OBSERVATION""",,1535822998,502707972,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582299998016E+018,5,6,"""HUMAN""",,1535822999,977417365,"""distracted_collaborative.POMDPx""",,1535822996,236766874,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582299999353E+018,5,7,"""ROBOT""",,1535822999,992417192,'',,1535822999,786844687,"""planning for grasping""","""MayBeTired""","""GlobalSuccess""",False,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.53582300000464E+018,5,7,"""HUMAN""",,1535822999,999967988,"""distracted_collaborative.POMDPx""",,1535822996,236766874,"""2""","""RobotInterfered""","""GlobalSuccess""",False,0,'','',[],'','','','',''
1.53582300995369E+018,6,0,"""MANAGER""",,1535823009,953610354,"""distracted_collaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""base.pomdpx""",'',''
1.53582301115279E+018,6,0,"""ROBOT""",,1535823011,150774433,'',,1535823011,147660003,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""5.20875"""
1.53582301116309E+018,6,0,"""HUMAN""",,1535823011,159838578,"""distracted_collaborative.POMDPx""",,1535823010,824864885,"""2""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','','','',''
1.53582301117041E+018,6,1,"""ROBOT""",,1535823011,169357743,'',,1535823011,147660003,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582301660415E+018,6,1,"""SENSORS""",,1535823016,603998314,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""human""",'','',''
1.53582302065414E+018,6,1,"""OBSERVATION""",,1535823020,652739229,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, True, False, False, False]","""SUCCESS""","""human""",'','',''
1.53582302190595E+018,6,1,"""HUMAN""",,1535823021,903121772,"""distracted_collaborative.POMDPx""",,1535823012,264813053,"""0""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','',''
1.53582302191133E+018,6,2,"""ROBOT""",,1535823021,910071327,'',,1535823021,893476974,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,0,'','',[],'','',"""base.pomdpx""","""6""","""5.88"""
1.53582302192193E+018,6,2,"""HUMAN""",,1535823021,918311148,"""distracted_collaborative.POMDPx""",,1535823012,264813053,"""0""","""Evaluating""","""GlobalSuccess""",False,0,'','',[],'','','','',''
